Account Code,Account Name,Portal URL,Type
S5QRLQKS,Table Rock House Restaurant,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=S5QRLQKS,Regular
SC3EUHYR,Saint John's Tavern,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=SC3EUHYR,Regular
SG36QFNJ,RSM,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=SG36QFNJ,Regular
SKVTNGKP,Vinny,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=SKVTNGKP,Regular
SQ2FLLFH,Beau Bistro,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=SQ2FLLFH,Regular
SVJDBBS9,Base 31,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=SVJDBBS9,Regular
T6BVGKEZ,Queen Victoria Place,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=T6BVGKEZ,Regular
TC8H68M2,Black Dog Tavern / Atomica,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=TC8H68M2,Regular
TFM6CE7C,Nobu,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=TFM6CE7C,Regular
TK2MG2SN,Baton Rouge (Hunt Club),https://12trinity.github.io/order-portal/12-trinity-portal.html?account=TK2MG2SN,Regular
TRYSLCKP,(Untitled) by Flaunt Boutique,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=TRYSLCKP,Regular
TT6RAM4X,White Lily Diner,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=TT6RAM4X,Regular
U5J267CZ,County Arts Council Holiday Mixer,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=U5J267CZ,Regular
U62X7MH9,J's Steakfrites,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=U62X7MH9,Regular
U7JF8Q8V,Greta YYZ,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=U7JF8Q8V,Regular
UC9LFC8V,The Libertine,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UC9LFC8V,Regular
UKNUE59Z,Haliburton Post House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UKNUE59Z,Regular
UVPAYY9A,Merrill House,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UVPAYY9A,Regular
UW7RZNV4,Death and Taxes,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=UW7RZNV4,Regular
V5D732QQ,Architect Hair Design,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=V5D732QQ,Regular
V63YGLTL,Occhiolino Pastificio,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=V63YGLTL,Regular
VCGYMDCF,King Street Trio Uptown,https://12trinity.github.io/order-portal/12-trinity-portal.html?account=VCGYMDCF,Regular
